,repo_id,forks,year_month,community
1882,228290594,9,2021-11,PaddleSlim
1883,203514079,9,2021-11,
1884,427252454,8,2021-11,
1885,383138186,8,2021-11,
1886,164796418,7,2021-11,
1887,127058653,6,2021-11,
1888,276845708,6,2021-11,
1889,319575342,5,2021-11,
1890,161509700,5,2021-11,
1891,261698998,4,2021-11,
1892,250154445,4,2021-11,
1893,423716718,4,2021-11,
1894,227880026,3,2021-11,
1895,173032424,3,2021-11,
1896,114885555,3,2021-11,
1897,127693333,3,2021-11,
1898,178685945,3,2021-11,
1899,333611338,3,2021-11,
1900,210873203,3,2021-11,
1901,314704349,2,2021-11,
1902,233520812,2,2021-11,
1903,274012656,2,2021-11,
1904,243677660,2,2021-11,
1905,403829741,1,2021-11,
1906,225549581,1,2021-11,
1907,240230342,1,2021-11,
1908,191286408,1,2021-11,
1909,228297846,1,2021-11,
1910,259220361,0,2021-11,
1911,244790548,0,2021-11,
1912,76616099,0,2021-11,
1913,133907444,0,2021-11,
1914,89484677,0,2021-11,
1915,210520127,0,2021-11,
1916,98599362,0,2021-11,
1917,196743910,0,2021-11,
1918,365999954,0,2021-11,
1919,262296122,235,2021-12,PaddleOCR
1920,110688239,180,2021-12,
1921,273214029,135,2021-12,PaddleGAN
1922,217475193,132,2021-12,PaddleDetection
1923,259513732,111,2021-12,
1924,65711522,100,2021-12,Paddle
1925,336274588,89,2021-12,PaddleNLP
1926,204380779,58,2021-12,PaddleSeg
1927,251201169,44,2021-12,
1928,246509073,34,2021-12,
1929,88868842,34,2021-12,models
1930,162672577,31,2021-12,PaddleHub
1931,104208128,27,2021-12,
1932,240226378,24,2021-12,
1933,227347371,23,2021-12,
1934,173544440,22,2021-12,
1935,403829741,21,2021-12,
1936,312259012,20,2021-12,
1937,131044128,14,2021-12,
1938,191286408,13,2021-12,
1939,173032424,12,2021-12,
1940,136450404,12,2021-12,
1941,314704349,9,2021-12,
1942,383138186,9,2021-12,
1943,164796418,8,2021-12,
1944,250154445,8,2021-12,
1945,423716718,8,2021-12,
1946,276845708,7,2021-12,
1947,426046572,6,2021-12,
1948,427252454,6,2021-12,
1949,243677660,6,2021-12,
1950,178685945,6,2021-12,
1951,76616099,6,2021-12,
1952,264782838,5,2021-12,
1953,114885555,5,2021-12,
1954,196743910,5,2021-12,
1955,203514079,4,2021-12,
1956,333611338,4,2021-12,
1957,227880026,4,2021-12,
1958,436903861,4,2021-12,
1959,261698998,3,2021-12,
1960,127693333,3,2021-12,
1961,161509700,3,2021-12,
1962,228290594,3,2021-12,PaddleSlim
1963,127058653,2,2021-12,
1964,274012656,2,2021-12,
1965,244790548,1,2021-12,
1966,319575342,1,2021-12,
1967,385199026,1,2021-12,
1968,289874518,1,2021-12,
1969,89484677,1,2021-12,
1970,321995806,1,2021-12,
1971,259220361,1,2021-12,
1972,365999954,1,2021-12,
1973,210873203,0,2021-12,
1974,210520127,0,2021-12,
1975,228297846,0,2021-12,
1976,203736612,0,2021-12,
1977,225549581,0,2021-12,
1978,133907444,0,2021-12,
1979,171811851,0,2021-12,
1980,233520812,0,2021-12,
1981,103466347,0,2021-12,
1982,302509341,0,2021-12,
1983,262296122,177,2022-01,PaddleOCR
1984,259513732,95,2022-01,
1985,217475193,88,2022-01,PaddleDetection
1986,336274588,63,2022-01,PaddleNLP
1987,65711522,56,2022-01,Paddle
1988,204380779,47,2022-01,PaddleSeg
1989,110688239,45,2022-01,
1990,162672577,40,2022-01,PaddleHub
1991,273214029,34,2022-01,PaddleGAN
1992,227347371,30,2022-01,
1993,104208128,26,2022-01,
1994,251201169,22,2022-01,
1995,88868842,19,2022-01,models
1996,131044128,18,2022-01,
1997,173544440,18,2022-01,
1998,312259012,18,2022-01,
1999,246509073,17,2022-01,
2000,240226378,15,2022-01,
2001,164796418,14,2022-01,
2002,403829741,11,2022-01,
2003,178685945,11,2022-01,
2004,383138186,10,2022-01,
2005,333611338,10,2022-01,
2006,203514079,9,2022-01,
2007,423716718,9,2022-01,
2008,228290594,7,2022-01,PaddleSlim
2009,264782838,6,2022-01,
2010,173032424,5,2022-01,
2011,276845708,5,2022-01,
2012,250154445,5,2022-01,
2013,314704349,4,2022-01,
2014,136450404,4,2022-01,
2015,436903861,4,2022-01,
2016,427252454,4,2022-01,
2017,261698998,3,2022-01,
2018,127058653,3,2022-01,
2019,76616099,3,2022-01,
2020,365999954,2,2022-01,
2021,191286408,2,2022-01,
2022,210873203,2,2022-01,
2023,243677660,2,2022-01,
2024,244790548,2,2022-01,
2025,426046572,2,2022-01,
2026,225549581,1,2022-01,
2027,302509341,1,2022-01,
2028,289874518,1,2022-01,
2029,259220361,1,2022-01,
2030,233520812,1,2022-01,
2031,319575342,1,2022-01,
2032,227880026,1,2022-01,
2033,98599362,0,2022-01,
2034,75912778,0,2022-01,
2035,114885555,0,2022-01,
2036,203736612,0,2022-01,
2037,92895339,0,2022-01,
2038,133907444,0,2022-01,
2039,228297846,0,2022-01,
2040,125206311,0,2022-01,
2041,88800008,0,2022-01,
2042,103466347,0,2022-01,
2043,161509700,0,2022-01,
2044,296268741,0,2022-01,
2045,89484677,0,2022-01,
2046,93210289,0,2022-01,
2047,127693333,0,2022-01,
2048,274012656,0,2022-01,
2049,137793455,0,2022-01,
2050,101101544,0,2022-01,
2051,385199026,0,2022-01,
2052,105703784,0,2022-01,
2053,203899406,0,2022-01,
2054,171811851,0,2022-01,
2055,321995806,0,2022-01,
2056,210520127,0,2022-01,
2057,224622052,0,2022-01,
2058,189339212,0,2022-01,
2059,240230342,0,2022-01,
2060,196743910,0,2022-01,
2061,262296122,122,2022-02,PaddleOCR
2062,259513732,59,2022-02,
2063,217475193,53,2022-02,PaddleDetection
2064,336274588,49,2022-02,PaddleNLP
2065,204380779,46,2022-02,PaddleSeg
2066,162672577,41,2022-02,PaddleHub
2067,65711522,39,2022-02,Paddle
2068,227347371,34,2022-02,
2069,251201169,26,2022-02,
2070,110688239,26,2022-02,
2071,273214029,26,2022-02,PaddleGAN
2072,104208128,24,2022-02,
2073,88868842,19,2022-02,models
2074,314704349,16,2022-02,
2075,312259012,16,2022-02,
2076,131044128,14,2022-02,
2077,246509073,13,2022-02,
2078,240226378,11,2022-02,
2079,173032424,11,2022-02,
2080,228290594,9,2022-02,PaddleSlim
2081,178685945,8,2022-02,
2082,173544440,8,2022-02,
2083,333611338,8,2022-02,
2084,203514079,6,2022-02,
2085,210873203,6,2022-02,
2086,427252454,5,2022-02,
2087,191286408,5,2022-02,
2088,114885555,4,2022-02,
2089,426046572,4,2022-02,
2090,423716718,4,2022-02,
2091,250154445,4,2022-02,
2092,319575342,3,2022-02,
2093,276845708,3,2022-02,
2094,403829741,3,2022-02,
2095,164796418,2,2022-02,
2096,243677660,2,2022-02,
2097,240230342,2,2022-02,
2098,161509700,2,2022-02,
2099,203899406,2,2022-02,
