,repo_id,stars,year_month,community
838,65711522,281,2020-04,Paddle
839,228290594,248,2020-04,PaddleSlim
840,88868842,223,2020-04,models
841,240226378,154,2020-04,
842,251201169,111,2020-04,
843,173544440,107,2020-04,
844,104208128,68,2020-04,
845,217475193,67,2020-04,PaddleDetection
846,178685945,55,2020-04,
847,76616099,44,2020-04,
848,110688239,44,2020-04,
849,246509073,36,2020-04,
850,114885555,33,2020-04,
851,131044128,33,2020-04,
852,243677660,26,2020-04,
853,225549581,23,2020-04,
854,210873203,23,2020-04,
855,204380779,20,2020-04,PaddleSeg
856,191286408,18,2020-04,
857,203514079,18,2020-04,
858,161509700,12,2020-04,
859,164796418,7,2020-04,
860,210520127,7,2020-04,
861,259513732,5,2020-04,
862,136450404,5,2020-04,
863,127058653,5,2020-04,
864,227347371,5,2020-04,
865,171811851,4,2020-04,
866,227880026,3,2020-04,
867,123634214,3,2020-04,
868,250154445,3,2020-04,
869,240230342,2,2020-04,
870,203736612,2,2020-04,
871,179445887,1,2020-04,
872,173032424,1,2020-04,
873,101101544,1,2020-04,
874,133907444,1,2020-04,
875,203899406,1,2020-04,
876,103466347,1,2020-04,
877,98599362,1,2020-04,
878,196743910,1,2020-04,
879,244790548,0,2020-04,
880,228297846,0,2020-04,
881,127693333,0,2020-04,
882,259220361,0,2020-04,
883,65711522,301,2020-05,Paddle
884,262296122,275,2020-05,PaddleOCR
885,217475193,239,2020-05,PaddleDetection
886,88868842,186,2020-05,models
887,264782838,145,2020-05,
888,173544440,131,2020-05,
889,162672577,129,2020-05,PaddleHub
890,246509073,123,2020-05,
891,251201169,75,2020-05,
892,204380779,71,2020-05,PaddleSeg
893,240226378,69,2020-05,
894,191286408,46,2020-05,
895,104208128,46,2020-05,
896,110688239,44,2020-05,
897,259513732,43,2020-05,
898,228290594,41,2020-05,PaddleSlim
899,131044128,37,2020-05,
900,76616099,30,2020-05,
901,114885555,28,2020-05,
902,250154445,25,2020-05,
903,243677660,21,2020-05,
904,164796418,14,2020-05,
905,203514079,14,2020-05,
906,178685945,13,2020-05,
907,210520127,12,2020-05,
908,210873203,10,2020-05,
909,261698998,9,2020-05,
910,227347371,9,2020-05,
911,228297846,8,2020-05,
912,89484677,7,2020-05,
913,136450404,7,2020-05,
914,161509700,6,2020-05,
915,225549581,4,2020-05,
916,127058653,4,2020-05,
917,196743910,3,2020-05,
918,171811851,3,2020-05,
919,127693333,2,2020-05,
920,227880026,2,2020-05,
921,133907444,2,2020-05,
922,173032424,2,2020-05,
923,259220361,1,2020-05,
924,101101544,1,2020-05,
925,203899406,1,2020-05,
926,103466347,1,2020-05,
927,244790548,0,2020-05,
928,240230342,0,2020-05,
929,131044128,1175,2020-06,
930,262296122,428,2020-06,PaddleOCR
931,65711522,245,2020-06,Paddle
932,178685945,210,2020-06,
933,88868842,157,2020-06,models
934,173544440,109,2020-06,
935,246509073,102,2020-06,
936,162672577,98,2020-06,PaddleHub
937,217475193,81,2020-06,PaddleDetection
938,104208128,68,2020-06,
939,264782838,63,2020-06,
940,250154445,57,2020-06,
941,228290594,56,2020-06,PaddleSlim
942,240226378,55,2020-06,
943,259513732,48,2020-06,
944,114885555,45,2020-06,
945,203514079,44,2020-06,
